ObsID,StationNam,River,StationLat,StationLon,LisfloodX,LisfloodY,Drain.Prov,Drain.LDD,Calibrated,FixedRepPo,CountryNam,Catchment,KGE,nse,fracOBS,PointID
G5145,Rwizi At Mbarara Water Works 81224,Rwizi,-0.616670000000000,30.649999999999999,30.675,-0.625,2070,2123,1,1,UGANDA,Nile,0.2855,-0.7097,0.85038,5145
G5160,Mayanja 83218,Mayanja,0.675830000000000,32.169670000000004,32.175,0.675,-9999,2277,1,1,UGANDA,Nile,-0.6383,-3.1432,0.46925,5160
G5161,Miriu Sondu 1Jg04,Sondu,-0.335830000000000,34.801940000000002,34.825,-0.375,-9999,3631,0,1,KENYA,Nile,-0.4233,-2.8063,0.30924,5161
G5164,Aswa Ii 86202,Aswa,2.950000000000000,32.583329999999997,32.575,2.975,13275,12204,0,1,UGANDA,Nile,0.3722,-0.7076,0.04839,5164
G5171,Suam 2B05,Suam,1.220830000000000,34.774999999999999,34.725,1.275,135,154,0,1,UGANDA,Lake Turkana,-2.2070,-7.9499,0.24379,5171
G5179,Yala 1Fg02,Yala,0.043050000000000,34.265279999999997,34.325,-0.025,2864,2831,1,1,KENYA,Nile,-1.0437,-9.8221,0.54221,5179
G5189,Muzizi 85211,Muzizi,0.871000000000000,30.730039999999999,30.725,0.875,2602,2862,1,1,UGANDA,Nile,0.4942,0.1691,0.29702,5189
G5195,Nzoia At Ruambwa Ferry 1Ef01,Nzoia,0.123610000000000,34.090280000000000,34.075,0.125,12676,12616,1,1,KENYA,Nile,-1.1230,-9.9584,0.79275,5195
G5196,Akokorio At Uganda Gauge,Akokoro,1.800000000000000,33.899999999999999,33.875,1.775,1410,13218,1,1,UGANDA,Nile,0.1110,0.2972,0.51057,5196
G5198,Awach Kabuon 1Hd04,Awach,-0.404160000000000,34.656939999999999,34.675,-0.425,540,554,1,1,KENYA,Nile,-7.8622,-248.6707,0.10302,5198
G5216,Gucha Migori 1Kb05,Gucha,-0.947220000000000,34.206940000000003,34.175,-0.925,6600,6584,1,1,KENYA,Nile,0.2724,-0.4878,0.44543,5216
G5220,Manafwa At Butaleja 82212,Manafwa,0.936944000000000,34.157780000000002,34.075,0.925,1180,708,0,1,UGANDA,Nile,-10.6356,-154.7610,0.55819,5220
G5223,Kyoga Nile At Masindi Port 83203,Kyoga Nile,1.694730000000000,32.092700000000001,32.125,1.725,338465,338804,1,1,UGANDA,Nile,-0.8292,-92.2590,0.63212,5223
G5227,Nkusi 85212,Nkusi,1.130060000000000,30.985650000000000,30.925,1.125,2839,1969,1,1,UGANDA,Nile,0.4081,-0.4823,0.50216,5227
G5230,Sio River 1Ah01,Sio,0.387500000000000,34.141669999999998,34.075,0.325,1450,1200,1,1,KENYA,Nile,0.4123,-0.0730,0.75271,5230
G5317,Mitano 84267,Mitano,-0.683330000000000,29.800000000000001,29.825,-0.675,1746,2092,1,1,UGANDA,Nile,-0.2590,-4.7767,0.84872,5317
G5461,Rusumo,Rusumo,-1.418231000000000,29.832470000000001,29.775,-1.425,149,431,0,1,RWANDA,Nile,-6.7110,-140.9881,0.34337,5461
